ダウンロードした時刻：2020/08/12 14:47:28

,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2000/8/1,30.1,8,1,34.4,8,1,26.2,8,1
2000/8/2,27.7,8,1,32.5,8,1,25.1,8,1
2000/8/3,28.8,8,1,34.9,8,1,24.1,8,1
2000/8/4,27.9,8,1,32.6,8,1,24.8,8,1
2000/8/5,27.1,8,1,33.0,8,1,22.1,8,1
2000/8/6,27.5,8,1,34.5,8,1,22.3,8,1
2000/8/7,26.7,8,1,31.9,8,1,22.8,8,1
2000/8/8,26.4,8,1,33.4,8,1,22.3,8,1
2000/8/9,25.3,8,1,30.6,8,1,21.8,8,1
2000/8/10,27.0,8,1,33.4,8,1,21.8,8,1
2000/8/11,28.8,8,1,34.8,8,1,23.7,8,1
2001/8/1,29.7,8,1,37.4,8,1,25.3,8,1
2001/8/2,25.6,8,1,28.4,8,1,23.2,8,1
2001/8/3,26.9,8,1,32.8,8,1,22.9,8,1
2001/8/4,28.1,8,1,32.9,8,1,24.2,8,1
2001/8/5,24.4,8,1,28.0,8,1,22.5,8,1
2001/8/6,23.9,8,1,26.2,8,1,21.7,8,1
2001/8/7,22.4,8,1,23.5,8,1,21.2,8,1
2001/8/8,24.0,8,1,26.7,8,1,21.3,8,1
2001/8/9,25.9,8,1,30.8,8,1,21.4,8,1
2001/8/10,28.2,8,1,33.3,8,1,25.0,8,1
2001/8/11,25.3,8,1,29.6,8,1,22.8,8,1
2002/8/1,30.5,8,1,37.2,8,1,24.1,8,1
2002/8/2,26.1,8,1,34.3,8,1,22.4,8,1
2002/8/3,27.1,8,1,32.3,8,1,22.9,8,1
2002/8/4,26.2,8,1,31.5,8,1,23.4,8,1
2002/8/5,28.7,8,1,35.0,8,1,23.7,8,1
2002/8/6,30.6,8,1,36.4,8,1,25.8,8,1
2002/8/7,30.4,8,1,35.7,8,1,25.3,8,1
2002/8/8,30.7,8,1,35.7,8,1,25.7,8,1
2002/8/9,30.4,8,1,34.8,8,1,25.2,8,1
2002/8/10,30.7,8,1,35.0,8,1,26.6,8,1
2002/8/11,30.7,8,1,36.0,8,1,24.2,8,1
2003/8/1,24.1,8,1,28.4,8,2,21.5,8,2
2003/8/2,26.9,8,1,31.7,8,2,22.4,8,2
2003/8/3,28.6,8,1,33.2,8,2,23.0,8,2
2003/8/4,29.1,8,1,34.2,8,2,23.9,8,2
2003/8/5,26.6,8,1,33.8,8,2,23.7,8,2
2003/8/6,26.6,8,1,31.4,8,2,23.4,8,2
2003/8/7,26.8,8,1,31.8,8,2,23.0,8,2
2003/8/8,27.3,8,1,30.4,8,2,23.3,8,2
2003/8/9,26.6,8,1,28.4,8,2,25.0,8,2
2003/8/10,28.5,8,1,34.4,8,2,23.4,8,2
2003/8/11,28.1,8,1,32.1,8,2,24.2,8,2
2004/8/1,27.9,8,1,31.9,8,2,24.9,8,2
2004/8/2,27.7,8,1,32.0,8,2,24.3,8,2
2004/8/3,27.8,8,1,32.7,8,2,22.5,8,2
2004/8/4,28.8,8,1,33.5,8,2,24.3,8,2
2004/8/5,28.1,8,1,30.8,8,2,26.7,8,2
2004/8/6,29.4,8,1,34.3,8,2,26.0,8,2
2004/8/7,27.1,8,1,33.1,8,2,23.5,8,2
2004/8/8,27.5,8,1,32.9,8,2,23.8,8,2
2004/8/9,28.2,8,1,34.2,8,2,23.7,8,2
2004/8/10,28.6,8,1,33.3,8,2,24.0,8,2
2004/8/11,27.8,8,1,31.7,8,2,25.0,8,2
2005/8/1,28.4,8,1,33.0,8,2,24.6,8,2
2005/8/2,28.4,8,1,31.9,8,2,25.8,8,2
2005/8/3,29.5,8,1,34.2,8,2,25.6,8,2
2005/8/4,29.9,8,1,34.9,8,2,25.5,8,2
2005/8/5,30.1,8,1,35.5,8,2,25.1,8,2
2005/8/6,29.8,8,1,35.3,8,2,25.6,8,2
2005/8/7,29.2,8,1,35.3,8,2,24.9,8,2
2005/8/8,27.3,8,1,33.5,8,2,24.2,8,2
2005/8/9,27.5,8,1,32.4,8,2,24.6,8,2
2005/8/10,27.1,8,1,30.3,8,2,25.1,8,2
2005/8/11,27.7,8,1,32.3,8,2,23.7,8,2
2006/8/1,22.9,8,1,27.5,8,2,20.4,8,2
2006/8/2,25.0,8,1,30.1,8,2,20.6,8,2
2006/8/3,27.2,8,1,34.1,8,2,22.6,8,2
2006/8/4,28.6,8,1,35.8,8,2,23.2,8,2
2006/8/5,29.1,8,1,35.2,8,2,23.2,8,2
2006/8/6,28.5,8,1,35.2,8,2,23.5,8,2
2006/8/7,29.1,8,1,34.6,8,2,23.9,8,2
2006/8/8,25.8,8,1,27.6,8,2,23.5,8,2
2006/8/9,25.2,8,1,28.0,8,2,23.6,8,2
2006/8/10,28.0,8,1,34.4,8,2,22.4,8,2
2006/8/11,27.8,8,1,32.4,8,2,24.5,8,2
2007/8/1,26.7,8,1,31.6,8,2,20.7,8,2
2007/8/2,28.2,8,1,32.6,8,2,24.1,8,2
2007/8/3,28.5,8,1,31.6,8,2,26.5,8,2
2007/8/4,30.1,8,1,36.0,8,2,26.6,8,2
2007/8/5,28.0,8,1,34.6,8,2,23.1,8,2
2007/8/6,27.9,8,1,33.7,8,2,23.0,8,2
2007/8/7,28.1,8,1,33.2,8,2,22.8,8,2
2007/8/8,28.9,8,1,33.5,8,2,24.7,8,2
2007/8/9,29.2,8,1,34.5,8,2,23.6,8,2
2007/8/10,29.8,8,1,35.2,8,2,24.5,8,2
